ClusterIndex Probability          OffspringID             FatherID             MotherID
          10      0.1103     24A_B1_F3_7_2016                  #79             24A_2016
          10      0.1103     24A_B1_F3_8_2016                  #79             24A_2016
          10      0.1103     24A_B1_F3_9_2016                  #79             24A_2016
          10      0.1103    24A_B1_F4_10_2016                  #78             24A_2016
          10      0.1103    24A_B1_F4_11_2016                  #80             24A_2016
          10      0.1103    24A_B1_F5_12_2016                  #81             24A_2016
          10      0.1103    24A_B1_F6_13_2016                  #82             24A_2016
          10      0.1103    24A_B1_F7_14_2016                  #81             24A_2016
          10      0.1103     24C_B2_F1_1_2016                  #78             24C_2016
          10      0.1103     24C_B2_F1_2_2016                  #89             24C_2016
          10      0.1103     24C_B2_F2_3_2016                  #75             24C_2016
          10      0.1103     24C_B2_F2_4_2016                  #90             24C_2016
          10      0.1103     24C_B2_F2_5_2016                  #91             24C_2016
          10      0.1103     24C_B2_F3_6_2016                  #90             24C_2016
          10      0.1103     24C_B2_F3_7_2016                  #92             24C_2016
          10      0.1103     24C_B2_F4_8_2016                  #89             24C_2016
          10      0.1103     24C_B2_F4_9_2016                  #89             24C_2016
          10      0.1103    24C_B2_F4_10_2016                  #92             24C_2016
          10      0.1103    24C_B2_F5_11_2016                  #91             24C_2016
          10      0.1103    24C_B2_F6_12_2016                  #90             24C_2016
          10      0.1103    24C_B2_F7_13_2016                  #93             24C_2016
          10      0.1103    24C_B2_F8_14_2016                  #90             24C_2016
          10      0.1103     24D_B1_F1_1_2016                  #94             24D_2016
          10      0.1103     24D_B1_F1_2_2016                  #76             24D_2016
          10      0.1103     24D_B1_F2_3_2016                  #90             24D_2016
          10      0.1103     24D_B1_F2_4_2016                  #91             24D_2016
          10      0.1103     24D_B1_F3_5_2016                  #94             24D_2016
          10      0.1103     24D_B1_F4_6_2016                  #76             24D_2016
          10      0.1103     24D_B1_F4_7_2016                  #74             24D_2016
          10      0.1103     24D_B4_F5_8_2016                  #82             24D_2016
          10      0.1103     24D_B4_F5_9_2016                  #90             24D_2016
          10      0.1103    24D_B4_F6_10_2016                  #77             24D_2016
          10      0.1103    24D_B4_F6_11_2016                  #77             24D_2016
          10      0.1103    24D_B4_F7_12_2016                  #74             24D_2016
          10      0.1103     28B_B1_F1_1_2016                  #80             28B_2016
          10      0.1103     28B_B1_F1_2_2016                  #89             28B_2016
          10      0.1103     28B_B2_F2_3_2016                  #89             28B_2016
          10      0.1103     28B_B2_F2_4_2016                  #74             28B_2016
          10      0.1103     28B_B2_F2_5_2016                  #77             28B_2016
          10      0.1103     63C_B1_F1_1_2016                 #259             63C_2016
          10      0.1103     63C_B1_F1_2_2016                  #92             63C_2016
